dir,start_idx,end_idx,pips,hours
1,0,97,217.0,97
-1,97,103,108.00000000000091,6
1,103,154,297.0000000000009,51
-1,154,156,67.0,2
1,156,178,199.0,22
-1,178,209,66.00000000000091,31
1,209,226,175.0000000000009,17
-1,226,242,55.0,16
1,242,277,236.0,35
-1,277,283,72.99999999999909,6
1,283,292,71.99999999999909,9
-1,292,298,231.0,6
1,298,309,210.0000000000009,11
-1,309,321,55.00000000000091,12
1,321,359,63.99999999999909,38
-1,359,366,55.99999999999909,7
1,366,368,88.0,2
-1,368,450,133.0000000000009,82
1,450,537,1007.0000000000009,87
-1,537,538,132.0,1
1,538,542,76.0,4
-1,542,559,193.0,17
1,559,569,88.0,10
-1,569,583,74.0,14
1,583,593,281.0,10
-1,593,597,55.00000000000091,4
1,597,603,431.0000000000009,6
-1,603,604,118.00000000000091,1
1,604,625,1180.000000000001,21
-1,625,628,422.9999999999991,3
1,628,633,352.9999999999991,5
-1,633,634,135.0,1
1,634,638,190.0,4
-1,638,646,362.0,8
1,646,647,66.0,1
-1,647,655,368.0,8
1,655,656,199.0,1
-1,656,659,206.0000000000009,3
1,659,663,127.00000000000091,4
-1,663,665,71.0,2
1,665,669,141.0,4
-1,669,673,84.0,4
1,673,678,182.0,5
-1,678,688,102.0,10
1,688,696,92.0,8
-1,696,712,717.9999999999991,16
1,712,714,119.99999999999818,2
-1,714,715,70.0,1
1,715,717,73.00000000000091,2
-1,717,720,237.0,3
1,720,722,167.0,2
-1,722,727,114.00000000000091,5
1,727,729,52.00000000000091,2
-1,729,749,670.0,20
1,749,752,304.0,3
-1,752,755,174.0,3
1,755,756,65.00000000000091,1
-1,756,757,74.00000000000091,1
1,757,758,55.0,1
-1,758,761,128.0,3
1,761,781,537.0,20
-1,781,786,71.0,5
1,786,800,371.0,14
-1,800,801,81.0,1
1,801,802,137.0000000000009,1
-1,802,804,89.00000000000091,2
1,804,805,168.0,1
-1,805,810,147.0,5
1,810,811,60.0,1
-1,811,813,122.99999999999909,2
1,813,837,575.9999999999991,24
-1,837,839,210.0,2
1,839,840,66.0,1
-1,840,842,136.0,2
1,842,845,65.99999999999909,3
-1,845,848,288.9999999999991,3
1,848,854,237.0,6
-1,854,866,317.0,12
1,866,873,122.0,7
-1,873,878,66.0,5
1,878,887,153.0000000000009,9
-1,887,891,223.00000000000182,4
1,891,895,50.00000000000091,4
