mass,success,t_exp,t_rev
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,2
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,3
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,3
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,1
15.0,True,1,2
15.0,True,1,2
15.0,True,1,2
15.0,True,1,1
15.00000000000091,True,1,1
15.00000000000091,True,1,2
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,3
15.000000000001819,True,1,2
15.000000000001819,True,1,1
15.000000000001819,True,1,2
15.000000000001819,True,1,2
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,2
15.000000000001819,True,1,2
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,4
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.000000000001819,True,1,1
15.099999999998545,True,1,2
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.099999999998545,True,1,1
15.100000000000364,True,1,2
15.100000000000364,True,1,1
15.100000000000364,True,1,2
15.100000000002183,True,1,3
15.199999999998909,True,1,4
15.199999999998909,True,1,3
15.199999999998909,True,1,2
15.199999999998909,True,1,1
15.200000000000728,True,1,1
15.200000000000728,True,1,1
15.200000000000728,True,1,2
15.200000000000728,True,1,1
15.200000000000728,True,1,1
15.200000000000728,True,1,1
15.200000000002547,True,1,1
15.200000000002547,True,1,2
15.200000000002547,True,1,2
15.299999999997453,True,1,1
15.299999999997453,True,1,1
15.299999999997453,True,1,2
15.299999999999272,True,1,1
15.299999999999272,True,1,1
15.299999999999272,True,1,1
15.299999999999272,True,1,1
15.299999999999272,True,1,1
15.299999999999272,True,1,2
15.300000000001091,True,1,1
15.300000000001091,True,1,1
15.300000000001091,True,1,1
15.300000000001091,True,1,1
15.300000000001091,True,1,1
15.300000000001091,True,1,1
15.300000000001091,True,1,7
15.300000000001091,True,1,1
15.399999999997817,True,1,1
15.399999999997817,True,1,2
15.399999999999636,True,1,1
15.399999999999636,True,1,8
15.399999999999636,True,1,3
15.399999999999636,True,1,1
15.399999999999636,True,1,1
15.399999999999636,True,1,6
15.399999999999636,True,1,1
15.399999999999636,True,1,2
15.400000000001455,True,1,2
15.400000000001455,True,1,2
15.400000000001455,True,1,2
15.400000000001455,True,1,1
15.400000000001455,True,1,1
15.400000000001455,True,1,4
15.400000000001455,True,1,1
15.499999999998181,True,1,2
15.499999999998181,True,1,1
15.5,True,1,1
15.5,True,1,2
15.5,True,1,1
15.5,True,1,2
15.5,True,1,1
15.5,True,1,4
15.5,True,1,1
15.5,True,1,1
15.5,True,1,1
15.500000000001819,True,1,1
15.500000000001819,True,1,2
15.500000000001819,True,1,1
15.500000000001819,True,1,2
15.500000000001819,True,1,1
15.500000000001819,True,1,1
15.500000000001819,True,1,2
